word,hanja,pronunciation,english_translations,korean_definitions,frequency
것,,,"something; -geotda; anything; this; you; he; she; that; that guy; that girl; that kid; something; being particular; many things; this and that; everything; this, that, and the other; -n geot; -l geot","정확히 가리키는 대상이 정해지지 않은 사물이나 사실.; (낮잡아 이르는 말로) 사람 또는 동물.; 그 사람의 소유물임을 나타내는 말.; 어떤 행위나 상태, 일을 나타내는 말.; 어떤 사실에 대한 확신이나 강조를 나타내는 말.; 아직 일어나지 않은 일에 대한 예상이나 추측, 계획을 나타내는 말.; 명령이나 지시의 뜻으로 문장을 끝맺는 말.; (아주낮춤으로)(옛 말투로) 경험이나 이치로 보아 틀림없이 그러할 것임을 추측하거나 다짐함을 나타내는 종결 어미.; 듣는 사람에게 가까이 있거나 듣는 사람이 생각하고 있는 것을 가리키는 말.; 앞에서 이미 이야기한 대상을 가리키는 말.; (낮잡아 이르는 말로) 그 사람.; (귀엽게 이르는 말로) 그 아이.; 정확하게 정해지지 않은 어떤 것.; 어떤 것의 조금이나 일부분.; 말하는 사람에게 가까이 있거나 말하는 사람이 생각하고 있는 것을 가리키는 말.; 바로 앞에서 이야기한 대상을 가리키는 말.; (낮잡아 이르는 말로) 이 사람.; (귀엽게 이르는 말로) 이 아이.; 말하는 사람과 듣는 사람으로부터 멀리 있는 것을 가리키는 말.; (낮잡아 이르는 말로) 저 사람.; (귀엽게 이르는 말로) 저 아이.; 흔하지 않은 이상한 것.; 여러 가지 것.; 분명하게 정해지지 않은 여러 가지 사물이나 일.; 명사가 아닌 것을 문장에서 명사처럼 쓰이게 하거나 ‘이다’ 앞에 쓰일 수 있게 할 때 쓰는 표현.; 명령이나 지시의 의미를 나타내면서 문장을 끝맺을 때 쓰는 표현.",0
하다,,그파다,do; perform; make; wear; do; drink; smoke; work; run; engage in; serve; play; do; get; become; buy; take; cost; prove; live up to; distinguish; handle; pick out; choose; put; decide; make up one's mind; call; name; result from; make a transit; reach; say; treat; do; think; figure; sound; go; mean; hada; -hada; at least; simple; strong; powerful; intense; strong; strong; resistant; curious; anxious; concerned; love; make a pet of; be affectionate to; urgent; hurried; impatient; serious; impetuous; rash; steep; rapid; fast,"어떤 행동이나 동작, 활동 등을 행하다.; 무엇을 만들거나 장만하다.; 어떤 표정을 짓거나 태도 등을 나타내다.; 음식물 등을 먹거나 마시거나 담배 등을 피우다.; 장신구 등을 몸에 걸치거나 옷 등을 차려입다.; 어떤 직업이나 일을 가지거나 사업체 등을 경영하다.; 어떤 지위나 역할을 맡다.; 어떠한 결과를 이루어 내다.; 무엇을 사거나 얻거나 해서 가지다.; 값이 어느 정도에 이르다.; 기대에 걸맞은 일을 행동으로 나타내다.; 분별해서 말하다.; 사건이나 문제 등을 처리하다.; 특정한 대상을 무엇으로 삼거나 정하다.; 어떠한 방향으로 두다.; 어떤 일을 그렇게 정하다.; 이름을 지어서 부르다.; 어떠한 일의 원인이 되다.; 어디를 거쳐 지나다.; 일정한 시각이나 시기에 이르다.; 이야기의 화제로 삼다.; 무엇에 대해 말하다.; 다른 사람의 말이나 생각 등을 나타내는 문장을 받아 뒤에 오는 단어를 꾸미는 말.; 다른 사람에게 어떤 영향을 주거나 대하다.; 어떤 방식으로 행위를 이루다.; 둘 이상의 일이 나열되거나 되풀이되는 것을 나타내는 말.; 생각하거나 추측하다.; 이러저러하게 말하다.; 어떤 상황이 일어나면 그 뒤에 반드시 어떤 상황이 뒤따라옴을 나타내는 말.; 그런 소리가 나다. 또는 그런 소리를 내다.; 어떤 말을 인용하는 기능을 나타내는 말.; ‘그러나’, ‘그러니’, ‘그러면’, ‘그리하여’, ‘그래서’의 뜻을 나타내는 말.; 앞말의 행동을 시키거나 앞말이 뜻하는 상태가 되도록 함을 나타내는 말.; 앞말의 행동을 하거나 앞말의 상태가 되기를 바란다는 뜻을 나타내는 말.; 어떤 행동이 필요하거나 그렇게 되기를 바란다는 뜻을 나타내는 말.; 앞말의 행동을 시도하거나 의도함을 나타내는 말.; 앞말의 행동을 할 수밖에 없다는 것을 나타내는 말.; 앞말의 행동을 하는 일도 있다는 것을 나타내는 말.; 앞말의 사실이 뒷말의 이유나 근거가 됨을 나타내는 말.; 어떤 동작이 반복되거나 자주 나타남을 나타내는 말.; 앞말이 뜻하는 대상에 어떤 느낌을 가진다는 것을 나타내는 말.; 앞말이 뜻하는 상태를 일단 긍정하거나 강조함을 나타내는 말.; 앞말이 뜻하는 사실이 뒤의 말의 이유나 근거가 됨을 나타내는 말.; '그것을 행동함', '그것과 관련된 행동을 함'의 뜻을 더하고 동사로 만드는 접미사.; '그러한 상태임'의 뜻을 더하고 형용사로 만드는 접미사.; '그러한 소리를 냄' 또는 '그러한 모양임'의 뜻을 더하고 동사나 형용사로 만드는 접미사.; '그러한 모양임', '그러한 상태임' 또는 '그러한 성질을 지님'의 뜻을 더하고 동사나 형용사로 만드는 접미사.; '그러하게 됨', '그러한 상태임' 또는 '그러한 성질임'의 뜻을 더하고 동사나 형용사로 만드는 접미사.; '그러함'의 뜻을 더하고 동사나 형용사로 만드는 접미사.; 가장 나쁜 경우라고 하더라도.; 길거나 복잡하지 않다.; 번거롭거나 많지 않다.; 단순하고 손쉽다.; 힘이 세다.; 수준이나 정도가 높다.; 정신적으로 굳세고 뜻을 굽히지 않다.; 무엇에 견디는 힘이 세거나 어떤 일에 대처하는 능력이 뛰어나다.; 무엇이 무척 알고 싶다.; 무엇이 걱정이 되어 마음이 무척 답답하다.; 자기보다 어린 사람이나 동물을 예뻐하고 사랑스럽게 대하다.; 사정이나 형편이 빨리 처리해야 할 상태에 있다.; 시간적 여유 없이 일을 서둘러 매우 빠르다.; 마음이 참거나 기다릴 수 없는 상태에 있다.; 병의 상태가 심각하다.; 성격이 참을성이 없다.; 경사나 기울기가 가파르다.; 어떤 흐름이나 진행 속도가 매우 빠르다.",1
있다,,,be; stay; work for; serve; keep; existent; existing; rich; wealthy; able to; itda; tasty; delicious; nice; stylish; elegant; interesting; keep quiet; remain still; sit still; sit idle; let me see; interrelated; associated; related; -n jeogi itda; -l riga itda,"사람이나 동물이 어느 곳에서 떠나거나 벗어나지 않고 머물다.; 직장에 계속 다니다.; 사람이나 동물이 어떤 상태를 계속 유지하다.; 얼마의 시간이 지나가다.; 사람, 동물, 물체 등이 존재하는 상태이다.; 사실이나 현상이 존재하다.; 어떤 일이 이루어지거나 벌어질 계획이다.; 재물이 넉넉하거나 많다.; 어떤 일을 할 능력을 가진 상태이다.; 어떤 상황이 될 가능성이 존재하거나 실제로 그렇게 되다.; 어떤 대상이나 사실을 강조하거나 확인할 때 쓰는 말.; 무엇이 어떤 곳에 자리나 공간을 차지하고 존재하는 상태이다.; 사람이나 동물이 어느 곳에 머무르거나 사는 상태이다.; 사람이 어떤 직장에 다니는 상태이다.; 어떤 상황, 수준, 단계 등에 놓인 상태이다.; 사람이나 물건 등이 어디에 포함된 상태이다.; 어떤 물건을 가지고 있거나 자격이나 능력 등을 갖춘 상태이다.; 일정한 관계를 가지는 사람이 존재하는 상태이다.; 어떤 사람에게 무슨 일이 생긴 상태이다.; 앞에 오는 명사를 화제나 논의의 대상으로 삼은 상태를 나타내는 말.; 사람이 어떤 지위나 역할로 존재하는 상태이다.; 이유나 가능성 등으로 성립되는 상태이다.; 앞말이 뜻하는 상태가 계속됨을 나타내는 말.; 앞말이 뜻하는 행동이 계속 진행됨을 나타내는 말.; 앞말이 뜻하는 행동의 결과가 계속됨을 나타내는 말.; 맛이 좋다.; 매우 좋거나 훌륭하다.; 즐겁고 유쾌한 느낌이 있다.; 말을 하거나 몸을 움직이지 않고 조용히 있다.; 어떤 대책을 세우거나 적절한 행동을 하지 않고 그대로 있다.; 갑자기 생각이 잘 나지 않거나 기억이 떠오르지 않을 때 하는 말.; 서로 관련이 있다.; 앞말이 나타내는 동작이 일어나거나 그 상태가 나타난 때가 있음을 나타내는 표현.; 앞말이 나타내는 내용에 대해 그럴 이유나 가능성이 없다는 말하는 사람의 확신을 나타내는 표현.",2
되다,,세ː련되다/세ː련뒈다,become; become; turn; come; fall; reach; amount to; reach; be of virtue; feel; become; become; make; be made of; be made from; be made up of; be composed of; consist of; be under; be completed; be finished; work; go well; grow well; run down; get to; become; be supposed to; be bound to; be scheduled to; be designed to; be required to; should; have to; need to; ought to; do; be enough; be allowed; be permitted; can; may; get; become; constitute; make; thick; hard-boiled; tight; hard; tough; severe; intense; -doeda; fail; not go well; be unlucky; be unsuccessful; not make it; be at least; old; ancient; go well; work well; work out; be made well; be done well; come out all right; pay off; succeed; make a success in life; become a great man; turn out all right; go wrong; die; become ill; nasty; naughty; ugly; originate; begin; polished; refined; refined; sophisticated,"새로운 신분이나 지위를 가지다.; 다른 것으로 바뀌거나 변하다.; 어떤 때나 시기, 상태에 이르다.; 일정한 수량에 차거나 이르다.; 어떤 대상의 수량, 요금 등이 얼마이거나 장소가 어디이다.; 사람으로서의 성품과 덕을 갖추다.; 어떠한 심리적인 상태에 있다.; 어떤 사람과 어떤 관계를 맺고 있다.; 어떤 재료나 성분으로 이루어지다.; 어떤 형태나 구조로 이루어지다.; 문서나 서류에 어떤 사람이나 조직의 이름이 쓰이다.; 어떤 사물이나 현상이 생겨나거나 만들어지다.; 일이 잘 이루어지다.; 식물 등이 잘 자라다.; 어떤 사물이 제 기능을 다하거나 수명이 다하다.; 어떤 상황이나 상태에 이르다.; 운명으로 결정되거나 규칙, 절차 등으로 정해지다.; 어떤 일이 이루어져야 하다.; 괜찮거나 아무 문제가 없다.; 어떤 일이 가능하거나 허락될 수 있음을 나타내는 말.; 누구에게 어떤 일을 당하다.; 어떤 특별한 뜻을 가지는 상태에 놓이다.; 밥이나 반죽 등이 물기가 적어 부드럽지 못하다.; 줄이 늘어지지 않고 팽팽하다.; 일이 힘들어 감당하기 어렵다.; 매우 심하거나 모질다.; ‘피동’의 뜻을 더하고 동사로 만드는 접미사.; 형용사로 만드는 접미사.; 일이나 현상 등이 좋게 이루어지지 않다.; 사람이 훌륭하게 되지 못하다.; 기대하거나 만족할 만한 수준이나 정도에 이르지 못하다.; 무엇이 시작되거나 생긴 후 지나간 시간이 길다.; 어떤 일이나 현상이 좋게 이루어지다.; 물건, 시설, 음식 등이 좋게 만들어지다.; 일이 바람직한 방향으로 좋게 이루어지다.; 사람이 훌륭하게 되거나 성공하다.; 넉넉하다고 생각되는 수준이나 정도에 이르다.; (반어적으로) 일의 결과가 좋지 않게 되다.; 일이 틀리거나 실패하게 되다.; 사람이 옳지 못하게 되거나 나쁘게 되다.; (완곡한 말로) 예상하지 못한 사고나 병으로 아프게 되거나 죽다.; 성질이나 하는 행동이 도덕적으로 나쁘다.; 일이 제대로 되지 못하다.; 처음으로 시작되다.; 말이나 글, 행동 등이 서투르거나 어색하지 않고 훌륭하고 능숙하다.; 모습이나 인격 등이 우아하고 품위가 있다.",3
나,,,I; na; -na; -na mana,"말하는 사람이 친구나 아랫사람에게 자기를 가리키는 말.; 만족스럽지는 않지만 선택함을 나타내는 조사.; 사실은 그렇지 않지만 그런 것처럼 행동함을 나타내는 조사.; 수량이 예상되는 정도를 넘거나 꽤 크거나 많음을 강조하는 조사.; 수량이나 정도를 대강 짐작할 때 쓰는 조사.; 많지는 않으나 어느 정도는 됨을 나타내는 조사.; 여러 가지 중에서 모두를 포함함을 나타내는 조사.; 말하는 사람이 인용되는 내용에 별 관심이 없거나 가벼운 의문을 나타낼 때 쓰는 조사.; 둘 이상의 사물을 같은 자격으로 이어 주거나 그중에 하나만이 선택됨을 나타내는 조사.; 어떤 대상이 최선의 자격 또는 조건이 됨을 나타내는 조사.; (나고, 나는데, 나, 나서, 나니, 나면, 난, 나는, 날, 납니다, 났다, 나라)→ 나다1, 나다2; (나은데, 나아, 나아서, 나으니, 나으면, 나은, 나을, 나았다)→ 낫다2; (나는데, 나니, 난, 나는, 날, 납니다)→ 날다; (나아, 나아서, 나으니, 나으면, 나은, 나을, 나았다, 나아라)→ 낫다1; 앞에 오는 말과 뒤에 오는 말의 내용이 서로 다름을 나타내는 연결 어미.; 여러 가지 중에서 어느 것을 선택해도 상관이 없음을 나타내는 연결 어미.; 앞말이 나타내는 상태를 강조할 때 쓰는 연결 어미.; (예사 낮춤으로) 물음을 나타내는 종결 어미.; (두루낮춤으로) 물음이나 추측을 나타내는 종결 어미.; 그렇게 하나 그렇게 하지 않으나 다름이 없는 상황임을 나타내는 표현.; (나타나고, 나타나는데, 나타나, 나타나서, 나타나니, 나타나면, 나타난, 나타나는, 나타날, 나타납니다, 나타났다, 나타나라)→ 나타나다",4
없다,,쓸떼업따,non-existent; lacking; not materializing; few; little; poor; impossible; unable; being not; rare; not having; there being no; lacking; disrespectful; ill-tasting; unsavory; not interesting; getting someone in trouble; irrelevant; okay; alright; incessant; unceasing; ceaseless; endless; infinite; not different; having no relation; having no issue; useless; fruitless; futile; needless; useless,"사람이나 사물 등이 실제로 존재하지 않는 상태이다.; 어떤 사실이나 현상이 현실로 존재하지 않는 상태이다.; 어떤 일이나 증상 등이 나타나지 않은 상태이다.; 어떤 것이 많지 않은 상태이다.; 돈이나 재산 등이 넉넉하지 못하여 가난하다.; 어떤 일이 가능하지 않다.; 사람, 사물, 현상 등이 어떤 곳에 자리나 공간을 차지하고 존재하지 않는 상태이다.; 사람이나 동물이 어느 곳에 머무르거나 살지 않는 상태이다.; 매우 드물다.; 일정한 범위에 포함되지 않는 상태이다.; 어떤 물건을 가지고 있지 않거나 자격이나 능력 등을 갖추지 않은 상태이다.; 일정한 관계를 가지는 사람이 존재하지 않는 상태이다.; 어떤 사람에게 아무 일도 생기지 않은 상태이다.; 이유나 가능성 등으로 성립될 수 없는 상태이다.; 위와 아래, 왼쪽과 오른쪽, 지위 등이 구별될 수 없는 상태이다.; 음식의 맛이 좋지 않다.; 즐겁고 유쾌한 느낌이 없다.; 좋지 않거나 해로운 일이 생기다.; 서로 아무런 관련이 없다.; 괜찮다. 문제가 될 것이 없다.; 계속하거나 이어져 있던 것이 끊이지 아니하다.; 끝이 없거나 제한이 없다.; 서로 같거나 비슷하다.; 서로 관련이 없다.; 특별히 문제되거나 걱정할 일이 없이 괜찮다.; 아무런 이익이나 쓸모가 없다.",5
사람,,밷싸람/배싸람,human; man; person; native; talent; reponsible member; personality; dude; other; other person; prominent figure; people; person; personality; character; snowman; younger; junior; one's senior; one's superior; wife; person behind; person coming later; posterity; next generation; successor; replacement; different person; many people; public; sailor; seaman,"생각할 수 있으며 언어와 도구를 만들어 사용하고 사회를 이루어 사는 존재.; 어떤 지역이나 집안, 조직에 속한 자.; 일정한 자격이나 인격을 갖춘 존재.; 성질이나 인격.; 친근한 상대편을 가리키거나 부를 때 사용하는 말.; 특별히 정해지지 않은 자기 외의 남을 가리키는 말.; 뛰어난 인물.; 일을 할 일꾼이나 인원.; 사람의 수를 세는 단위.; 사람이 지닌 마음씨나 성품.; 눈을 뭉쳐서 사람 모양으로 만든 것.; 나이나 항렬이 자기보다 낮은 사람.; 계급, 지위, 신분 등이 자기보다 낮은 사람.; 가족 관계에서 자신보다 나이나 위치가 많거나 위인 사람.; 사회\생활에서 자신보다 위치가 위인 사람.; (겸손하게 이르는 말로) 자기 아내.; 뒤에 있는 사람. 또는 나중에 온 사람.; 다음 세대의 사람.; 다음에 일을 맡아보는 사람.; 모습이나 행동 등이 알아보지 못할 만큼 이전과 달라진 사람.; 많은 사람. 여러 사람.; 배를 조종하거나 배에서 일을 하는 사람.",6
우리,,둥우리,we; uri; pen; hutch; barn; our country; our language; soak; infuse; extort; wring; peak; summit; pigsty; chicken nest; nest,"말하는 사람이 자기와 듣는 사람 또는 이를 포함한 여러 사람들을 가리키는 말.; 말하는 사람이 자기보다 높지 않은 사람에게 자기를 포함한 여러 사람들을 가리키는 말.; 말하는 사람이 자기보다 높지 않은 사람에게 자기와 관련된 것을 친근하게 나타낼 때 쓰는 말.; 짐승을 가두어 기르는 곳.; 한국 사람이 한국을 스스로 이르는 말.; 한국 사람들이 사용하는 글자인 한글.; 어떤 물체를 액체에 담가 그 물체의 맛이나 빛깔 등이 액체 속으로 빠져나오게 하다.; 남을 속이거나 위협하여 돈이나 물품 등을 빼앗다.; 한국 사람들이 사용하는 한국말.; 산에서 가장 높이 솟은 부분.; → 꽃봉오리; 돼지를 가두어 기르는 곳.; (비유적으로) 아주 더러운 곳.; 나뭇가지나 짚 등을 엮어 만든 닭의 집.; 새가 알을 낳거나 살기 위해 풀, 나뭇가지 등을 엮어 만든 둥근 모양의 집.",7
아니다,,아니다,not,어떤 사실이나 내용을 부정하는 뜻을 나타내는 말.; 물음이나 짐작의 뜻을 나타내면서 어떤 사실이나 내용을 강하게 긍정하는 뜻을 나타내는 말.,8
같다,,,same; identical; equal; similar; like; such as; like; if; in case; just like; exactly the same; equivalent to; just alike; identical; same; constant; steadfast; invariable; uniform; even; consistent; -n geot gatda; -l geot gatda; seamless; as good as new; perfectly repaired; eager; anxious; like a demon; precious; -neun geot gatda,"서로 다르지 않다.; 서로 비슷하다.; 무엇과 비슷한 종류에 속해 있음을 나타내는 말.; '어떤 상황이나 조건이라면'의 뜻을 나타내는 말.; '기준에 알맞은'의 뜻을 나타내는 말.; '마음이나 생각, 형편에 따르자면'의 뜻으로, 실제로는 그렇지 못함을 나타내는 말.; (욕하는 말로) 앞말과 다르지 않음을 나타내는 말.; 미루어 생각되는 점이 있다.; 사물의 모양, 분량, 성질 등이 서로 조금도 다른 데가 없다.; 사람의 외모, 태도, 행동 등이 닮아 아주 비슷하다.; 새롭거나 특별한 것이 전혀 없다.; 처음부터 끝까지 변함없이 똑같다.; 여럿이 모두 똑같아서 마치 하나와 같다.; 추측을 나타내는 표현.; 남이 알 수 없을 정도로 꾸미거나 고친 흔적이 없다.; 무엇을 바라는 마음이 몹시 간절하다.; 동작이나 추측이 매우 정확하고 재주가 놀라울 정도로 뛰어나다.; 아주 귀하고 소중하다.",9
